cycSecs,cycMps,cycGrade,cycRoadType
733,14.22222222,0,0
734,13.19444444,0,0
735,12.11111111,0,0
736,11.13888889,0,0
737,10.38888889,0,0
738,10.25,0,0
739,10.27777778,0,0
740,10.27777778,0,0
741,10.08333333,0,0
742,9.861111111,0,0
743,9.277777778,0,0
744,8.333333333,0,0
745,7.277777778,0,0
746,6.527777778,0,0
747,5.444444444,0,0
748,4.111111111,0,0
749,2.944444444,0,0
750,2,0,0
751,0.972222222,0,0
752,0,0,0
753,0,0,0
754,0,0,0
755,0,0,0
756,0,0,0
757,0,0,0
758,0,0,0
759,0,0,0
760,0,0,0
761,0,0,0
762,0,0,0
763,0,0,0
764,0,0,0
765,0,0,0
766,0,0,0
767,0,0,0
768,0,0,0
769,0,0,0
770,0,0,0
771,0,0,0
772,0,0,0
773,1.777777778,0,0
774,2.888888889,0,0
775,2.611111111,0,0
776,3.083333333,0,0
777,4.194444444,0,0
778,5.388888889,0,0
779,5.361111111,0,0
780,5.027777778,0,0
781,5.222222222,0,0
782,5.777777778,0,0
783,6.305555556,0,0
784,6.805555556,0,0
785,7.166666667,0,0
786,7.75,0,0
787,8.527777778,0,0
788,9.138888889,0,0
789,8.888888889,0,0
790,8.777777778,0,0
791,9.277777778,0,0
792,9.75,0,0
793,10.27777778,0,0
794,10.75,0,0
795,10.69444444,0,0
796,10.36111111,0,0
797,10.41666667,0,0
798,10.41666667,0,0
799,9.777777778,0,0
800,9.305555556,0,0
801,9.055555556,0,0
802,8.861111111,0,0
803,8.611111111,0,0
804,8.833333333,0,0
805,9.25,0,0
806,9.805555556,0,0
807,10.05555556,0,0
808,10.41666667,0,0
809,10.44444444,0,0
810,10.47222222,0,0
811,10.19444444,0,0
812,10.05555556,0,0
813,10.52777778,0,0
814,11,0,0
815,11.44444444,0,0
816,12.25,0,0
817,12.61111111,0,0
818,12.91666667,0,0
819,13.02777778,0,0
820,13.16666667,0,0
821,13.27777778,0,0
822,13.38888889,0,0
823,13.38888889,0,0
824,11.80555556,0,0
825,11.88888889,0,0
826,11.80555556,0,0
827,11.94444444,0,0
828,12.27777778,0,0
829,12.52777778,0,0
830,12.75,0,0
831,12.97222222,0,0
832,13.08333333,0,0
833,13.19444444,0,0
834,13.5,0,0
835,13.52777778,0,0
836,13.55555556,0,0
837,13.63888889,0,0
838,13.63888889,0,0
839,13.69444444,0,0
840,13.72222222,0,0
841,13.72222222,0,0
842,13.77777778,0,0
843,13.88888889,0,0
844,14.02777778,0,0
845,14,0,0
846,14.55555556,0,0
847,14.58333333,0,0
848,14.94444444,0,0
849,15.27777778,0,0
850,15.61111111,0,0
851,15.94444444,0,0
852,16.27777778,0,0
853,16.47222222,0,0
854,16.83333333,0,0
855,17,0,0
856,17.02777778,0,0
857,17.05555556,0,0
858,17.19444444,0,0
859,17.22222222,0,0
860,17.22222222,0,0
861,17.19444444,0,0
862,15.33333333,0,0
863,15.08333333,0,0
864,13.63888889,0,0
865,15.13888889,0,0
866,14.33333333,0,0
867,13.97222222,0,0
868,13.52777778,0,0
869,13.5,0,0
870,13.27777778,0,0
871,13.16666667,0,0
872,13.30555556,0,0
873,13.11111111,0,0
874,12.69444444,0,0
875,12.55555556,0,0
876,12.61111111,0,0
877,12.52777778,0,0
878,12.08333333,0,0
879,11.88888889,0,0
880,11.66666667,0,0
881,11.58333333,0,0
882,11.36111111,0,0
883,11.13888889,0,0
884,11.11111111,0,0
885,10.75,0,0
886,10.55555556,0,0
887,10.38888889,0,0
888,10.22222222,0,0
889,10.11111111,0,0
890,9.777777778,0,0
891,9.527777778,0,0
892,9.444444444,0,0
893,9.416666667,0,0
894,9.444444444,0,0
895,9.444444444,0,0
896,9.083333333,0,0
897,8.833333333,0,0
898,8.555555556,0,0
899,8.277777778,0,0
900,7.972222222,0,0
901,7.472222222,0,0
902,7.277777778,0,0
903,6.833333333,0,0
904,6.444444444,0,0
905,6.222222222,0,0
906,5.972222222,0,0
907,5.611111111,0,0
908,5.416666667,0,0
909,5.194444444,0,0
910,5.027777778,0,0
911,4.694444444,0,0
912,4.305555556,0,0
913,3.361111111,0,0
914,2.416666667,0,0
915,2.111111111,0,0
916,1.638888889,0,0
917,1.027777778,0,0
918,0.5,0,0
919,0,0,0
920,0,0,0
921,0,0,0
922,0,0,0
923,0,0,0
924,0,0,0
925,0,0,0
926,0,0,0
927,0,0,0
928,0,0,0
929,0,0,0
930,0,0,0
931,0,0,0
932,0,0,0
933,0,0,0
934,0,0,0
935,0,0,0
936,0,0,0
937,0,0,0
938,0,0,0
939,0,0,0
940,0,0,0
941,0,0,0
942,0,0,0
943,0,0,0
944,0,0,0
945,0,0,0
946,0,0,0
947,0,0,0
948,0,0,0
949,0,0,0
950,0,0,0
951,0,0,0
952,0,0,0
953,0,0,0
954,0,0,0
955,0,0,0
956,0.833333333,0,0
957,2.75,0,0
958,3.388888889,0,0
959,3.888888889,0,0
960,4.722222222,0,0
961,4.888888889,0,0
962,5.055555556,0,0
963,5.638888889,0,0
964,6.222222222,0,0
965,6.555555556,0,0
966,6.583333333,0,0
967,6.388888889,0,0
