cycSecs,cycMps,cycGrade,cycRoadType
362,14.35021682,0,0
363,14.66314989,0,0
364,15.0207877,0,0
365,15.42313022,0,0
366,15.46783495,0,0
367,15.60194913,0,0
368,15.5572444,0,0
369,15.42313022,0,0
370,15.51253968,0,0
371,15.87017748,0,0
372,16.0937011,0,0
373,16.0937011,0,0
374,16.0937011,0,0
375,16.0937011,0,0
376,16.0937011,0,0
377,16.0937011,0,0
378,16.13840583,0,0
379,16.27252001,0,0
380,16.31722473,0,0
381,16.27252001,0,0
382,16.0937011,0,0
383,15.69135858,0,0
384,15.24431132,0,0
385,14.97608297,0,0
386,14.03728374,0,0
387,12.96437033,0,0
388,11.4891144,0,0
389,10.28208682,0,0
390,9.075059234,0,0
391,7.823326926,0,0
392,6.482185167,0,0
393,5.364567035,0,0
394,3.8893111,0,0
395,2.414055166,0,0
396,0.938799231,0,0
397,0,0,0
398,0,0,0
399,0,0,0
400,0,0,0
401,0,0,0
402,0,0,0
403,1.162322858,0,0
404,2.637578792,0,0
405,4.112834727,0,0
406,5.588090661,0,0
407,7.063346596,0,0
408,8.53860253,0,0
409,10.01385846,0,0
410,11.17618132,0,0
411,11.44440967,0,0
412,12.29379945,0,0
413,12.96437033,0,0
414,13.41141759,0,0
415,13.45612231,0,0
416,13.41141759,0,0
417,13.27730341,0,0
418,13.09848451,0,0
419,12.87496088,0,0
420,12.51732308,0,0
421,11.17618132,0,0
422,9.700925388,0,0
423,8.225669453,0,0
424,6.750413519,0,0
425,5.275157584,0,0
426,3.79990165,0,0
427,2.324645715,0,0
428,0.84938978,0,0
429,0,0,0
430,0,0,0
431,0,0,0
432,0,0,0
433,0,0,0
434,0,0,0
435,0,0,0
436,0,0,0
437,0,0,0
438,0,0,0
439,0,0,0
440,0,0,0
441,0,0,0
442,0,0,0
443,0,0,0
444,0,0,0
445,0,0,0
446,0,0,0
447,0,0,0
448,1.475255935,0,0
449,2.950511869,0,0
450,4.425767804,0,0
451,5.901023738,0,0
452,7.376279673,0,0
453,8.851535607,0,0
454,10.32679154,0,0
455,11.80204748,0,0
456,12.42791363,0,0
457,13.00907506,0,0
458,14.08198847,0,0
459,14.75255935,0,0
460,15.0207877,0,0
461,15.5572444,0,0
462,15.69135858,0,0
463,15.9148822,0,0
464,16.13840583,0,0
465,16.0937011,0,0
466,16.13840583,0,0
467,16.18311055,0,0
468,16.0937011,0,0
469,15.95958693,0,0
470,16.0937011,0,0
471,16.0937011,0,0
472,15.9148822,0,0
473,15.87017748,0,0
474,15.82547275,0,0
475,15.7360633,0,0
476,15.7360633,0,0
